FAIL:  calculateDin(0, 0, 2, 0, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 4, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 4, 4, 2, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(0, 4, 4, 2, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(0, 4, 4, 2, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(0, 4, 4, 2, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 4, 4, 2, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 5, 2, 0, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 5, 2, 0, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 5, 2, 2, 0)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 5, 2, 2, 3)  Expected null, but got 0.75.
FAIL:  calculateDin(0, 5, 3, 0, 0)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 5, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 5, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 5, 3, 0, 3)  Expected null, but got 1.
FAIL:  calculateDin(0, 5, 3, 2, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 5, 3, 2, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 5, 3, 2, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(0, 5, 3, 2, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(0, 5, 4, 0, 0)  Expected 0.75, but got 2.
FAIL:  calculateDin(0, 5, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(0, 5, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(0, 5, 4, 0, 3)  Expected null, but got 1.5.
FAIL:  calculateDin(0, 5, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(0, 5, 4, 2, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(0, 5, 4, 2, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(0, 5, 4, 2, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(0, 5, 4, 2, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(0, 5, 4, 2, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(1, 0, 0, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 0, 0, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 0, 1, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 0, 1, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 0, 3, 0, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(1, 0, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 0, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 0, 3, 0, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(1, 0, 4, 0, 0)  Expected 1, but got 2.
FAIL:  calculateDin(1, 0, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(1, 0, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 0, 4, 0, 3)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 0, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(1, 1, 0, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 1, 0, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 1, 1, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 1, 1, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 1, 3, 0, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(1, 1, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 1, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 1, 3, 0, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(1, 1, 4, 0, 0)  Expected 1, but got 2.
FAIL:  calculateDin(1, 1, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(1, 1, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 1, 4, 0, 3)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 1, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(1, 2, 0, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 2, 0, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 2, 1, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 2, 1, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 2, 3, 0, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(1, 2, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 2, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 2, 3, 0, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(1, 2, 4, 0, 0)  Expected 1, but got 2.
FAIL:  calculateDin(1, 2, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(1, 2, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 2, 4, 0, 3)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 2, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(1, 3, 0, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 3, 0, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 3, 1, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 3, 1, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 3, 3, 0, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(1, 3, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 3, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 3, 3, 0, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(1, 3, 4, 0, 0)  Expected 1, but got 2.
FAIL:  calculateDin(1, 3, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(1, 3, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 3, 4, 0, 3)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 3, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(1, 4, 0, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 4, 0, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 4, 1, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 4, 1, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 4, 3, 0, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(1, 4, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 4, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 4, 3, 0, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(1, 4, 4, 0, 0)  Expected 1, but got 2.
FAIL:  calculateDin(1, 4, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(1, 4, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 4, 4, 0, 3)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 4, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(1, 5, 0, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 5, 0, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 5, 1, 0, 0)  Expected 1, but got 0.75.
FAIL:  calculateDin(1, 5, 1, 0, 3)  Expected 0.75, but got null.
FAIL:  calculateDin(1, 5, 3, 0, 0)  Expected 1, but got 1.5.
FAIL:  calculateDin(1, 5, 3, 0, 1)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 5, 3, 0, 2)  Expected 0.75, but got 1.25.
FAIL:  calculateDin(1, 5, 3, 0, 3)  Expected 0.75, but got 1.
FAIL:  calculateDin(1, 5, 4, 0, 0)  Expected 1, but got 2.
FAIL:  calculateDin(1, 5, 4, 0, 1)  Expected 0.75, but got 1.75.
FAIL:  calculateDin(1, 5, 4, 0, 2)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 5, 4, 0, 3)  Expected 0.75, but got 1.5.
FAIL:  calculateDin(1, 5, 4, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(2, 0, 0, 0, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(2, 0, 0, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 0, 0, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 0, 0, 0, 3)  Expected 1, but got null.
FAIL:  calculateDin(2, 0, 1, 0, 0)  Expected 1.5, but got 1.
FAIL:  calculateDin(2, 0, 1, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 0, 1, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 0, 1, 0, 3)  Expected 1, but got 0.75.
FAIL:  calculateDin(2, 0, 3, 0, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(2, 0, 3, 0, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(2, 0, 3, 0, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(2, 0, 3, 0, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(2, 0, 3, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(2, 0, 4, 0, 0)  Expected 1.5, but got 2.5.
FAIL:  calculateDin(2, 0, 4, 0, 1)  Expected 1.25, but got 2.25.
FAIL:  calculateDin(2, 0, 4, 0, 2)  Expected 1.25, but got 2.
FAIL:  calculateDin(2, 0, 4, 0, 3)  Expected 1, but got 1.75.
FAIL:  calculateDin(2, 0, 4, 0, 4)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 0, 4, 0, 5)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 1, 0, 0, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(2, 1, 0, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 1, 0, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 1, 0, 0, 3)  Expected 1, but got null.
FAIL:  calculateDin(2, 1, 1, 0, 0)  Expected 1.5, but got 1.
FAIL:  calculateDin(2, 1, 1, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 1, 1, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 1, 1, 0, 3)  Expected 1, but got 0.75.
FAIL:  calculateDin(2, 1, 3, 0, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(2, 1, 3, 0, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(2, 1, 3, 0, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(2, 1, 3, 0, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(2, 1, 3, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(2, 1, 4, 0, 0)  Expected 1.5, but got 2.5.
FAIL:  calculateDin(2, 1, 4, 0, 1)  Expected 1.25, but got 2.25.
FAIL:  calculateDin(2, 1, 4, 0, 2)  Expected 1.25, but got 2.
FAIL:  calculateDin(2, 1, 4, 0, 3)  Expected 1, but got 1.75.
FAIL:  calculateDin(2, 1, 4, 0, 4)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 1, 4, 0, 5)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 2, 0, 0, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(2, 2, 0, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 2, 0, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 2, 0, 0, 3)  Expected 1, but got null.
FAIL:  calculateDin(2, 2, 1, 0, 0)  Expected 1.5, but got 1.
FAIL:  calculateDin(2, 2, 1, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 2, 1, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 2, 1, 0, 3)  Expected 1, but got 0.75.
FAIL:  calculateDin(2, 2, 3, 0, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(2, 2, 3, 0, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(2, 2, 3, 0, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(2, 2, 3, 0, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(2, 2, 3, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(2, 2, 4, 0, 0)  Expected 1.5, but got 2.5.
FAIL:  calculateDin(2, 2, 4, 0, 1)  Expected 1.25, but got 2.25.
FAIL:  calculateDin(2, 2, 4, 0, 2)  Expected 1.25, but got 2.
FAIL:  calculateDin(2, 2, 4, 0, 3)  Expected 1, but got 1.75.
FAIL:  calculateDin(2, 2, 4, 0, 4)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 2, 4, 0, 5)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 3, 0, 0, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(2, 3, 0, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 3, 0, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 3, 0, 0, 3)  Expected 1, but got null.
FAIL:  calculateDin(2, 3, 1, 0, 0)  Expected 1.5, but got 1.
FAIL:  calculateDin(2, 3, 1, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 3, 1, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 3, 1, 0, 3)  Expected 1, but got 0.75.
FAIL:  calculateDin(2, 3, 3, 0, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(2, 3, 3, 0, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(2, 3, 3, 0, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(2, 3, 3, 0, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(2, 3, 3, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(2, 3, 4, 0, 0)  Expected 1.5, but got 2.5.
FAIL:  calculateDin(2, 3, 4, 0, 1)  Expected 1.25, but got 2.25.
FAIL:  calculateDin(2, 3, 4, 0, 2)  Expected 1.25, but got 2.
FAIL:  calculateDin(2, 3, 4, 0, 3)  Expected 1, but got 1.75.
FAIL:  calculateDin(2, 3, 4, 0, 4)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 3, 4, 0, 5)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 4, 0, 0, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(2, 4, 0, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 4, 0, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 4, 0, 0, 3)  Expected 1, but got null.
FAIL:  calculateDin(2, 4, 1, 0, 0)  Expected 1.5, but got 1.
FAIL:  calculateDin(2, 4, 1, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 4, 1, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 4, 1, 0, 3)  Expected 1, but got 0.75.
FAIL:  calculateDin(2, 4, 3, 0, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(2, 4, 3, 0, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(2, 4, 3, 0, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(2, 4, 3, 0, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(2, 4, 3, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(2, 4, 4, 0, 0)  Expected 1.5, but got 2.5.
FAIL:  calculateDin(2, 4, 4, 0, 1)  Expected 1.25, but got 2.25.
FAIL:  calculateDin(2, 4, 4, 0, 2)  Expected 1.25, but got 2.
FAIL:  calculateDin(2, 4, 4, 0, 3)  Expected 1, but got 1.75.
FAIL:  calculateDin(2, 4, 4, 0, 4)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 4, 4, 0, 5)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 5, 0, 0, 0)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(2, 5, 0, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 5, 0, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 5, 0, 0, 3)  Expected 1, but got null.
FAIL:  calculateDin(2, 5, 1, 0, 0)  Expected 1.5, but got 1.
FAIL:  calculateDin(2, 5, 1, 0, 1)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 5, 1, 0, 2)  Expected 1.25, but got 0.75.
FAIL:  calculateDin(2, 5, 1, 0, 3)  Expected 1, but got 0.75.
FAIL:  calculateDin(2, 5, 3, 0, 0)  Expected 1.5, but got 2.
FAIL:  calculateDin(2, 5, 3, 0, 1)  Expected 1.25, but got 1.75.
FAIL:  calculateDin(2, 5, 3, 0, 2)  Expected 1.25, but got 1.5.
FAIL:  calculateDin(2, 5, 3, 0, 3)  Expected 1, but got 1.5.
FAIL:  calculateDin(2, 5, 3, 0, 4)  Expected null, but got 1.25.
FAIL:  calculateDin(2, 5, 4, 0, 0)  Expected 1.5, but got 2.5.
FAIL:  calculateDin(2, 5, 4, 0, 1)  Expected 1.25, but got 2.25.
FAIL:  calculateDin(2, 5, 4, 0, 2)  Expected 1.25, but got 2.
FAIL:  calculateDin(2, 5, 4, 0, 3)  Expected 1, but got 1.75.
FAIL:  calculateDin(2, 5, 4, 0, 4)  Expected null, but got 1.5.
FAIL:  calculateDin(2, 5, 4, 0, 5)  Expected null, but got 1.5.
FAIL:  calculateDin(3, 0, 0, 0, 0)  Expected 2, but got 1.
FAIL:  calculateDin(3, 0, 0, 0, 1)  Expected 1.75, but got 0.75.
FAIL:  calculateDin(3, 0, 0, 0, 2)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(3, 0, 0, 0, 3)  Expected 1.5, but got 0.75.
FAIL:  calculateDin(3, 0, 0, 0, 4)  Expected 1.25, but got null.
FAIL:  calculateDin(3, 0, 1, 0, 0)  Expected 2, but got 1.5.
FAIL:  calculateDin(3, 0, 1, 0, 1)  Expected 1.75, but got 1.25.
FAIL:  calculateDin(3, 0, 1, 0, 2)  Expected 1.5, but got 1.25.
FAIL:  calculateDin(3, 0, 1, 0, 3)  Expected 1.5, but got 1.
FAIL:  calculateDin(3, 0, 1, 0, 4)  Expected 1.25, but got null.
FAIL:  calculateDin(3, 0, 3, 0, 0)  Expected 2, but got 2.5.
FAIL:  calculateDin(3, 0, 3, 0, 1)  Expected 1.75, but got 2.25.
